"Player Details","","","","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"77","Breece Hall","NYJ","RB","1","2025","1","1","PIT","19","107","107.0","5.63","0","0","0","0","0","89.5","68.4","47.4","21.1","15.8","","","1","33.3","1","20.0","2","20.0","2","9.1","2","38","17.4","19.00","19.00","38.0","100.0","0","0.0","0","0","0","14.0","14.0","16.5","16.5"
"78","James Cook","BUF","RB","1","2025","1","15","NE","22","107","107.0","4.86","2","0","0","0","0","95.5","72.7","50.0","13.6","","","","2","100.0","3","75.0","6","50.0","3","10.7","2","4","2.1","2.00","1.33","4.0","66.7","1","33.3","1","1","0","21.2","21.2","31.1","31.1"
"79","Jaylen Wright","MIA","RB","1","2025","1","14","NYJ","24","107","107.0","4.46","1","0","0","0","0","87.5","66.7","50.0","12.5","","","","1","100.0","1","50.0","3","60.0","3","14.3","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","18.8","18.8","16.7","16.7"
"80","Emanuel Wilson","GB","RB","1","2025","1","12","MIN","28","107","107.0","3.82","2","0","0","0","0","75.0","57.1","32.1","14.3","","","","3","100.0","3","100.0","5","71.4","2","9.1","2","18","12.3","9.00","9.00","18.0","100.0","0","0.0","0","0","0","21.0","21.0","26.5","26.5"
"81","Chase Brown","CIN","RB","1","2025","1","12","NE","19","107","107.0","5.63","0","0","0","0","0","89.5","73.7","63.2","15.8","5.3","5.3","","0","0.0","0","0.0","0","0.0","4","10.5","2","23","11.7","11.50","5.75","23.0","50.0","0","0.0","0","0","0","15.2","15.2","15.0","15.0"
"82","Saquon Barkley","PHI","RB","1","2025","2","1","SF","26","106","106.0","4.08","0","0","0","0","0","73.1","61.5","38.5","3.8","3.8","3.8","","1","50.0","4","80.0","5","71.4","5","14.3","3","25","14.9","8.33","5.00","25.0","60.0","0","0.0","0","0","0","24.4","24.4","16.1","16.1"
"83","Christian McCaffrey","SF","RB","1","2025","1","9","NYG","28","106","106.0","3.79","1","0","0","0","0","85.7","60.7","28.6","10.7","3.6","","","1","50.0","3","75.0","5","62.5","5","20.8","5","67","28.5","13.40","13.40","67.0","100.0","1","50.0","1","1","0","26.2","26.2","34.3","34.3"
"84","Sean Tucker","TB","RB","1","2025","1","11","BUF","19","106","106.0","5.58","2","0","0","0","0","84.2","47.4","31.6","10.5","5.3","5.3","5.3","1","50.0","3","75.0","4","44.4","2","7.1","2","34","19.7","17.00","17.00","34.0","100.0","1","100.0","0","0","0","15.7","15.7","34.0","34.0"
"85","Kenneth Walker","SEA","RB","1","2025","1","2","PIT","13","105","105.0","8.08","1","0","0","0","0","92.3","84.6","61.5","30.8","23.1","7.7","","0","0.0","0","0.0","3","60.0","1","3.0","1","13","4.4","13.00","13.00","13.0","100.0","0","0.0","0","0","0","10.4","10.4","18.8","18.8"
"86","Jacory Croskey-Merritt","WAS","RB","1","2025","1","17","DAL","11","105","105.0","9.55","2","0","0","0","0","72.7","36.4","36.4","27.3","9.1","9.1","9.1","1","100.0","4","100.0","5","83.3","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","9.7","9.7","22.5","22.5"
