ONLY EDIT THIS COLUMN,QB Ranks,,,,
ID,SDIO,Name,Team,Rank,Comments
Brian Thomas Jr. (24933) [JAX],24933,Brian Thomas Jr.,JAX,28,
Rome Odunze (24977) [CHI],24977,Rome Odunze,CHI,29,
Jaylen Waddle (22598) [DEN],22598,Jaylen Waddle,DEN,30,
Michael Wilson (24173) [ARI],24173,Michael Wilson,ARI,31,
Jordan Addison (23162) [MIN],23162,Jordan Addison,MIN,32,
KC Concepcion (26762) [CLE],26762,KC Concepcion,CLE,33,
Jayden Higgins (26094) [HOU],26094,Jayden Higgins,HOU,34,
Omar Cooper Jr. (26760) [NYJ],26760,Omar Cooper Jr.,NYJ,35,
Makai Lemon (26748) [PHI],26748,Makai Lemon,PHI,36,
Denzel Boston (26747) [CLE],26747,Denzel Boston,CLE,37,
Terry McLaurin (20873) [WAS],20873,Terry McLaurin,WAS,38,
Michael Pittman Jr. (21744) [PIT],21744,Michael Pittman Jr.,PIT,39,
DJ Moore (19844) [BUF],19844,DJ Moore,BUF,40,
Wan'Dale Robinson (23170) [TEN],23170,Wan'Dale Robinson,TEN,41,
Jakobi Meyers (20876) [JAX],20876,Jakobi Meyers,JAX,42,
Parker Washington (24143) [JAX],24143,Parker Washington,JAX,43,
Ricky Pearsall (24982) [SF],24982,Ricky Pearsall,SF,44,
Courtland Sutton (19800) [DEN],19800,Courtland Sutton,DEN,45,
Chris Godwin Jr. (18880) [TB],18880,Chris Godwin Jr.,TB,46,
DK Metcalf (20875) [PIT],20875,DK Metcalf,PIT,47,
Khalil Shakir (23227) [BUF],23227,Khalil Shakir,BUF,48,
Jerry Jeudy (21692) [CLE],21692,Jerry Jeudy,CLE,49,
Jayden Reed (23233) [GB],23233,Jayden Reed,GB,50,
Mike Evans (16597) [SF],16597,Mike Evans,SF,51,
Germie Bernard (26750) [PIT],26750,Germie Bernard,PIT,52,
Jalen McMillan (25098) [TB],25098,Jalen McMillan,TB,53,
Xavier Worthy (24924) [KC],24924,Xavier Worthy,KC,54,
Josh Downs (24145) [IND],24145,Josh Downs,IND,55,
Chris Brazzell II (26731) [CAR],26731,Chris Brazzell II,CAR,56,
Antonio Williams (26859) [WAS],26859,Antonio Williams,WAS,57,
Brandon Aiyuk (21747) [SF],21747,Brandon Aiyuk,SF,58,
Jauan Jennings (21717) [MIN],21717,Jauan Jennings,MIN,59,
Elijah Sarratt (25892) [BAL],25892,Elijah Sarratt,BAL,60,
Chris Bell (26745) [MIA],26745,Chris Bell,MIA,61,
Malachi Fields (25935) [NYG],25935,Malachi Fields,NYG,62,
Jaylin Noel (25914) [HOU],25914,Jaylin Noel,HOU,63,
Davante Adams (16470) [LAR],16470,Davante Adams,LAR,64,
Zachariah Branch (26909) [ATL],26909,Zachariah Branch,ATL,65,
Quentin Johnston (24226) [LAC],24226,Quentin Johnston,LAC,66,
Matthew Golden (25922) [GB],25922,Matthew Golden,GB,67,
Jack Bech (25894) [LV],25894,Jack Bech,LV,68,
Skyler Bell (26799) [BUF],26799,Skyler Bell,BUF,69,
Ted Hurst (26807) [TB],26807,Ted Hurst,TB,70,
Ja'Kobi Lane (26746) [BAL],26746,Ja'Kobi Lane,BAL,71,
Deion Burks (25907) [IND],25907,Deion Burks,IND,72,
Romeo Doubs (23167) [NE],23167,Romeo Doubs,NE,73,
Brenen Thompson (26809) [LAC],26809,Brenen Thompson,LAC,74,
Adonai Mitchell (24954) [NYJ],24954,Adonai Mitchell,NYJ,75,
Kevin Coleman Jr. (28051) [MIA],28051,Kevin Coleman Jr.,MIA,76,
Tyreek Hill (18082) [FA],18082,Tyreek Hill,,77,
Rashid Shaheed (23729) [SEA],23729,Rashid Shaheed,SEA,78,
Tre' Harris (25925) [LAC],25925,Tre' Harris,LAC,79,
Jalen Coker (25122) [CAR],25122,Jalen Coker,CAR,80,
Elic Ayomanor (25964) [TEN],25964,Elic Ayomanor,TEN,81,
Deebo Samuel Sr. (20932) [FA],20932,Deebo Samuel Sr.,,82,
Calvin Ridley (19802) [TEN],19802,Calvin Ridley,TEN,83,
Dontayvion Wicks (23253) [PHI],23253,Dontayvion Wicks,PHI,84,
Chimere Dike (25987) [TEN],25987,Chimere Dike,TEN,85,
Troy Franklin (24973) [DEN],24973,Troy Franklin,DEN,86,
Tank Dell (24176) [HOU],24176,Tank Dell,HOU,87,
Kayshon Boutte (23121) [NE],23121,Kayshon Boutte,NE,88,
Rashod Bateman (22623) [BAL],22623,Rashod Bateman,BAL,89,
Kyle Williams (25912) [NE],25912,Kyle Williams,NE,90,
Marvin Mims Jr. (23165) [DEN],23165,Marvin Mims Jr.,DEN,91,
Christian Kirk (19815) [SF],19815,Christian Kirk,SF,92,
Darnell Mooney (21961) [NYG],21961,Darnell Mooney,NYG,93,
Tez Johnson (25934) [TB],25934,Tez Johnson,TB,94,
Pat Bryant (25975) [DEN],25975,Pat Bryant,DEN,95,
Jaylin Lane (25976) [WAS],25976,Jaylin Lane,WAS,96,
Stefon Diggs (16906) [FA],16906,Stefon Diggs,,97,
Isaiah Bond (26034) [CLE],26034,Isaiah Bond,CLE,98,
Tre Tucker (24177) [LV],24177,Tre Tucker,LV,99,
Hollywood Brown (21045) [PHI],21045,Hollywood Brown,PHI,100,
Cedric Tillman (24348) [CLE],24348,Cedric Tillman,CLE,101,
Dyami Brown (22686) [WAS],22686,Dyami Brown,WAS,102,
Isaac TeSlaa (26101) [DET],26101,Isaac TeSlaa,DET,103,
Xavier Legette (25003) [CAR],25003,Xavier Legette,CAR,104,
Darius Slayton (20943) [NYG],20943,Darius Slayton,NYG,105,
DeMario Douglas (24180) [NE],24180,DeMario Douglas,NE,106,
Eric McAlister (26798) [FA],26798,Eric McAlister,,107,
Eric Rivers Jr. (26846) [TB],26846,Eric Rivers Jr.,TB,108,
Bryce Lance (26852) [NO],26852,Bryce Lance,NO,109,
CJ Daniels (26849) [LAR],26849,CJ Daniels,LAR,110,
Roman Wilson (25039) [PIT],25039,Roman Wilson,PIT,111,
Tory Horton (24989) [SEA],24989,Tory Horton,SEA,112,
Cooper Kupp (18882) [SEA],18882,Cooper Kupp,SEA,113,
Reggie Virgil (26945) [ARI],26945,Reggie Virgil,ARI,114,
Keandre Lambert-Smith (26059) [LAC],26059,Keandre Lambert-Smith,LAC,115,
