"Player Details","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"95","Mark Andrews","BLT","TE","17","2025","67","15.9","48","422","12.9","8.79","6.30","24.8","71.6","5","21.7","9","14","1","7.7","131.0","131.0","83.0"
"96","Dawson Knox","BUF","TE","17","2025","48","9.7","36","417","10.5","11.58","8.69","24.5","75.0","4","13.8","7","12","0","6.1","103.7","103.7","67.7"
"97","Colby Parkinson","LA","TE","15","2025","55","10.2","43","408","9.6","9.49","7.42","27.2","78.2","8","18.6","9","21","1","8.7","130.8","130.8","87.8"
"98","Keon Coleman","BUF","WR","13","2025","58","15.4","38","404","13.4","10.63","6.97","31.1","65.5","4","15.4","6","8","1","8.0","103.4","103.4","65.4"
"99","KaVontae Turpin","DAL","WR","15","2025","38","6.8","26","396","9.3","15.23","10.42","26.4","68.4","2","8.3","2","5","0","5.7","85.5","85.5","59.5"
"100","Garrett Wilson","NYJ","WR","7","2025","55","30.4","36","395","35.7","10.97","7.18","56.4","65.5","4","50.0","1","4","1","14.2","99.5","99.5","63.5"
"101","Jalen Coker","CAR","WR","11","2025","41","13.2","33","394","18.8","11.94","9.61","35.8","80.5","3","23.1","2","3","1","8.3","91.4","91.4","58.4"
"102","Pat Bryant","DEN","WR","15","2025","47","8.7","31","378","11.0","12.19","8.04","25.2","66.0","1","5.0","3","7","0","5.0","74.8","74.8","43.8"
"103","Calvin Austin","PIT","WR","14","2025","54","12.1","31","372","12.5","12.00","6.89","26.6","57.4","3","15.0","1","4","0","6.2","86.2","86.2","55.2"
"104","Sterling Shepard","TB","WR","13","2025","53","12.3","39","371","13.3","9.51","7.00","28.5","73.6","1","5.0","2","7","1","6.4","83.0","83.0","44.0"
"105","Mason Taylor","NYJ","TE","13","2025","63","17.0","44","369","16.7","8.39","5.86","28.4","69.8","1","7.7","3","8","0","6.8","88.9","88.9","44.9"
"106","Mike Evans","TB","WR","8","2025","59","21.5","30","368","20.3","12.27","6.24","46.0","50.8","3","23.1","5","9","0","10.6","84.8","84.8","54.8"
"107","Darnell Washington","PIT","TE","16","2025","43","8.5","31","364","10.9","11.74","8.47","22.8","72.1","1","4.0","4","8","2","4.7","74.4","74.4","43.4"
"108","Xavier Legette","CAR","WR","15","2025","61","13.4","35","363","12.2","10.37","5.95","24.2","57.4","3","13.6","2","11","1","6.0","89.3","89.3","54.3"
"109","Matthew Golden","GB","WR","14","2025","42","10.5","29","361","11.0","12.45","8.60","25.8","69.0","0","0.0","0","2","0","5.0","70.0","70.0","41.0"
"110","Chris Godwin","TB","WR","9","2025","48","16.5","33","360","17.5","10.91","7.50","40.0","68.8","2","15.4","5","6","0","9.2","83.0","83.0","50.0"
"111","Gunnar Helm","TEN","TE","16","2025","54","10.1","44","357","11.5","8.11","6.61","22.3","81.5","2","13.3","3","8","0","5.7","91.7","91.7","47.7"
"112","Van Jefferson","TEN","WR","16","2025","50","9.3","29","350","11.2","12.07","7.00","21.9","58.0","1","6.7","1","3","0","4.4","70.0","70.0","41.0"
"113","Cole Kmet","CHI","TE","16","2025","45","8.4","30","347","9.4","11.57","7.71","21.7","66.7","2","7.1","2","5","0","4.9","78.7","78.7","48.7"
"114","JuJu Smith-Schuster","KC","WR","17","2025","42","7.2","33","345","8.7","10.45","8.21","20.3","78.6","1","4.3","3","8","0","4.3","73.5","73.5","40.5"
"115","Isaiah Bond","CLV","WR","16","2025","41","7.8","18","338","11.3","18.78","8.24","21.1","43.9","0","0.0","2","3","0","3.4","54.7","54.7","36.7"
"116","Greg Dulcich","MIA","TE","10","2025","31","12.1","26","335","17.5","12.88","10.81","33.5","83.9","1","8.3","2","5","1","6.4","63.8","63.8","37.8"
"117","Dontayvion Wicks","GB","WR","14","2025","44","10.9","30","332","10.4","11.07","7.55","23.7","68.2","2","8.7","1","4","0","5.4","75.8","75.8","45.8"
"118","DeAndre Hopkins","BLT","WR","17","2025","35","8.3","22","330","10.1","15.00","9.43","19.4","62.9","2","8.7","0","2","0","3.9","67.0","67.0","45.0"
"119","Michael Mayer","LV","TE","13","2025","49","12.2","35","328","12.7","9.37","6.69","25.2","71.4","1","7.1","3","6","1","5.7","73.8","73.8","38.8"
"120","Tre Harris","LAC","WR","17","2025","42","7.4","30","324","8.2","10.80","7.71","19.1","71.4","1","3.8","1","5","0","4.1","69.4","69.4","39.4"
"121","Marvin Mims","DEN","WR","15","2025","51","9.3","37","322","8.9","8.70","6.31","21.5","72.5","1","4.5","1","3","0","5.9","89.0","89.0","52.0"
"122","Tez Johnson","TB","WR","16","2025","42","8.1","28","322","9.1","11.50","7.67","20.1","66.7","5","20.8","1","7","0","5.8","92.4","92.4","64.4"
"123","Malik Washington","MIA","WR","17","2025","62","12.9","46","317","9.5","6.89","5.11","18.6","74.2","3","13.0","7","11","0","6.6","111.7","111.7","65.7"
"124","Olamide Zaccheaus","CHI","WR","16","2025","62","11.7","39","313","8.5","8.03","5.05","19.6","62.9","2","7.7","3","12","0","5.3","84.8","84.8","45.8"
"125","Isaiah Likely","BLT","TE","14","2025","36","10.4","27","307","12.0","11.37","8.53","21.9","75.0","1","7.1","2","6","2","4.5","62.7","62.7","35.7"
"126","Mike Gesicki","CIN","TE","13","2025","42","8.9","28","307","10.2","10.96","7.31","23.6","66.7","2","7.7","4","7","0","5.4","70.7","70.7","42.7"
"127","Josh Palmer","BUF","WR","12","2025","37","10.4","22","303","10.7","13.77","8.19","25.3","59.5","0","0.0","2","6","0","4.4","52.3","52.3","30.3"
"128","Calvin Ridley","TEN","WR","7","2025","34","14.2","17","303","23.4","17.82","8.91","43.3","50.0","0","0.0","1","1","0","6.8","47.3","47.3","30.3"
"129","Xavier Smith","LA","WR","16","2025","23","4.1","18","303","6.8","16.83","13.17","18.9","78.3","0","0.0","0","3","0","3.0","48.3","48.3","30.3"
"130","Elijah Higgins","ARZ","TE","17","2025","35","5.4","30","301","6.9","10.03","8.60","17.7","85.7","0","0.0","1","3","1","3.5","59.1","59.1","29.1"
"131","Travis Hunter","JAX","WR","7","2025","44","17.0","28","298","18.4","10.64","6.77","42.6","63.6","1","11.1","2","5","1","9.1","63.8","63.8","35.8"
"132","Jake Tonges","SF","TE","16","2025","45","8.2","34","293","7.0","8.62","6.51","18.3","75.6","5","15.2","5","7","0","5.8","93.3","93.3","59.3"
"133","Devaughn Vele","NO","WR","13","2025","36","8.2","25","293","10.2","11.72","8.14","22.5","69.4","2","15.4","2","3","0","5.1","66.3","66.3","41.3"
"134","David Njoku","CLV","TE","12","2025","45","10.5","33","293","12.2","8.88","6.51","24.4","73.3","4","28.6","3","7","0","7.2","86.3","86.3","53.3"
"135","Jaylin Noel","HST","WR","17","2025","35","6.0","26","292","7.4","11.23","8.34","17.2","74.3","2","8.3","3","5","0","4.0","68.4","68.4","42.4"
"136","Tyler Lockett","TEN, LV","WR","17","2025","51","9.3","32","291","9.0","9.09","5.71","17.1","62.7","1","5.9","2","2","0","3.9","67.1","67.1","35.1"
"137","Kalif Raymond","DET","WR","15","2025","28","5.4","24","289","7.2","12.04","10.32","19.3","85.7","1","3.1","1","2","0","4.1","60.8","60.8","36.8"
"138","Noah Fant","CIN","TE","15","2025","39","6.7","34","288","7.6","8.47","7.38","19.2","87.2","3","9.4","2","3","3","5.2","77.8","77.8","43.8"
"139","Daniel Bellinger","NYG","TE","16","2025","26","5.3","19","286","8.1","15.05","11.00","17.9","73.1","2","10.5","1","6","0","3.7","59.6","59.6","40.6"
"140","Darren Waller","MIA","TE","9","2025","34","13.7","24","283","16.0","11.79","8.32","31.4","70.6","6","54.5","5","7","0","9.9","88.7","88.7","64.7"
"141","Tyler Higbee","LA","TE","10","2025","36","10.8","25","281","11.6","11.24","7.81","28.1","69.4","3","10.7","4","8","0","7.1","71.1","71.1","46.1"
"142","Brandin Cooks","NO, BUF","WR","15","2025","35","7.4","24","279","8.9","11.63","7.97","18.6","68.6","0","0.0","0","1","0","3.5","51.9","51.9","27.9"
"143","Demarcus Robinson","SF","WR","14","2025","35","7.6","22","276","7.9","12.55","7.89","19.7","62.9","1","3.7","1","3","0","4.2","58.2","58.2","36.2"
"144","John Metchie","PHI, NYJ","WR","16","2025","48","10.7","33","274","10.3","8.30","5.71","17.1","68.8","2","11.1","2","5","0","4.5","71.9","71.9","38.9"
"145","Malik Nabers","NYG","WR","4","2025","32","24.4","18","271","30.2","15.06","8.47","67.8","56.3","2","50.0","2","3","0","14.3","57.1","57.1","39.1"
"146","Cedric Tillman","CLV","WR","13","2025","37","8.8","21","270","10.9","12.86","7.30","20.8","56.8","2","16.7","2","4","0","4.6","60.0","60.0","39.0"
"147","Tyreek Hill","MIA","WR","4","2025","29","23.8","21","265","33.8","12.62","9.14","66.3","72.4","1","14.3","2","2","0","13.4","53.5","53.5","32.5"
"148","Austin Hooper","NE","TE","16","2025","25","5.3","21","263","6.3","12.52","10.52","16.4","84.0","2","6.7","3","5","0","3.7","59.3","59.3","38.3"
"149","Jahan Dotson","PHI","WR","17","2025","35","7.0","18","262","7.5","14.56","7.49","15.4","51.4","1","3.8","0","5","0","3.0","50.2","50.2","32.2"
"150","Luke Musgrave","GB","TE","17","2025","31","6.3","24","252","6.6","10.50","8.13","14.8","77.4","0","0.0","0","1","1","2.9","49.2","49.2","25.2"
"151","Tommy Tremble","CAR","TE","17","2025","36","7.0","27","249","7.5","9.22","6.92","14.6","75.0","2","8.3","3","5","0","3.8","63.9","63.9","36.9"
"152","Tyrell Shavers","BUF","WR","17","2025","22","4.4","15","245","6.2","16.33","11.14","14.4","68.2","1","3.4","0","0","0","2.7","45.5","45.5","30.5"
"153","Christian Kirk","HST","WR","13","2025","47","10.6","28","239","7.9","8.54","5.09","18.4","59.6","1","5.0","4","6","0","4.5","57.9","57.9","29.9"
"154","Isaac TeSlaa","DET","WR","17","2025","27","4.6","16","239","5.2","14.94","8.85","14.1","59.3","6","17.1","3","11","0","4.5","75.9","75.9","59.9"
"155","Terrance Ferguson","LA","TE","13","2025","25","5.5","11","231","6.4","21.00","9.24","17.8","44.0","3","8.3","2","3","0","4.0","52.1","52.1","41.1"
"156","Dyami Brown","JAX","WR","14","2025","37","7.9","20","227","6.8","11.35","6.14","16.2","54.1","1","3.8","3","9","0","3.6","50.7","50.7","30.7"
"157","Jaylin Lane","WAS","WR","15","2025","31","7.3","16","225","7.5","14.06","7.26","15.0","51.6","0","0.0","0","2","0","2.6","39.2","39.2","23.2"
"158","Rashod Bateman","BLT","WR","13","2025","36","10.5","19","224","8.8","11.79","6.22","17.2","52.8","2","11.1","3","8","0","4.3","55.4","55.4","36.4"
"159","Jack Bech","LV","WR","16","2025","27","5.6","20","224","7.2","11.20","8.30","14.0","74.1","0","0.0","1","3","0","2.7","42.4","42.4","22.4"
"160","Jonnu Smith","PIT","TE","17","2025","52","9.5","38","222","6.1","5.84","4.27","13.1","73.1","2","7.7","3","7","1","5.0","85.2","85.2","47.2"
"161","Kyle Williams","NE","WR","17","2025","21","4.2","10","209","4.7","20.90","9.95","12.3","47.6","3","9.7","0","0","0","2.9","49.2","49.2","39.2"
"162","Davis Allen","LA","TE","17","2025","33","5.5","24","208","4.4","8.67","6.30","12.2","72.7","3","6.5","4","7","0","3.7","62.8","62.8","38.8"
