"Player Details","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","SCRM","YDS","TD","1+ %","3+ %","5+ %","10+ %","15+ %","20+ %","30+ %","i5","i5 %","i10","i10 %","i20","i20 %","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","WO","WO/G","FP/G","FP"
"41","Tyler Allgeier","ATL","RB","17","2025","143","514","30.2","3.59","8","0","0","0","0","79.0","51.7","32.9","9.8","3.5","0.7","","10","43.5","19","47.5","32","45.1","16","2.9","14","96","2.6","6.86","6.00","5.6","87.5","0","0.0","0","1","0","122.1","7.2","7.2","123.0"
"42","Chuba Hubbard","CAR","RB","15","2025","134","511","34.1","3.81","1","1","0","0","0","88.1","65.7","36.6","6.0","","","","1","10.0","7","29.2","18","32.1","38","8.3","30","223","7.7","7.43","5.87","14.9","78.9","3","15.8","4","6","0","142.2","9.5","8.4","126.4"
"43","Nick Chubb","HST","RB","15","2025","122","506","33.7","4.15","3","0","0","0","0","84.4","62.3","32.0","7.4","3.3","2.5","0.8","6","33.3","6","22.2","13","21.0","20","3.8","13","67","1.9","5.15","3.35","4.5","65.0","0","0.0","0","2","0","102.2","6.8","5.9","88.3"
"44","Chris Rodriguez","WAS","RB","13","2025","112","500","38.5","4.46","6","0","0","0","0","86.6","59.8","34.8","11.6","3.6","1.8","0.9","14","42.4","22","45.8","33","42.9","4","1.1","3","30","1.2","10.00","7.50","2.3","75.0","0","0.0","0","1","0","90.0","6.9","7.1","92.0"
"45","Emanuel Wilson","GB","RB","17","2025","125","496","29.2","3.97","3","0","0","0","0","88.8","67.2","36.8","9.6","0.8","","","4","14.8","8","17.8","24","25.5","17","3.5","15","99","2.6","6.60","5.82","5.8","88.2","0","0.0","1","2","1","108.7","6.4","5.6","94.5"
"46","Alvin Kamara","NO","RB","11","2025","131","471","42.8","3.60","1","1","0","0","0","85.5","58.0","29.8","7.6","3.1","","","2","22.2","6","27.3","15","33.3","39","10.1","33","186","7.6","5.64","4.77","16.9","84.6","0","0.0","2","5","1","138.9","12.6","9.3","102.7"
"47","Isiah Pacheco","KC","RB","13","2025","118","462","35.5","3.92","1","0","0","0","0","90.7","65.3","35.6","8.5","0.8","","","0","0.0","7","22.6","20","29.9","26","6.1","19","101","3.5","5.32","3.88","7.8","73.1","1","4.5","2","4","0","116.7","9.0","6.7","87.3"
"48","Devin Singletary","NYG","RB","17","2025","119","437","25.7","3.67","5","0","0","0","0","85.7","58.8","30.3","5.0","1.7","1.7","","10","33.3","17","33.3","22","22.7","19","3.6","18","151","4.1","8.39","7.95","8.9","94.7","0","0.0","1","2","0","107.0","6.3","6.4","108.8"
"49","Cam Skattebo","NYG","RB","8","2025","101","410","51.3","4.06","5","1","0","0","0","83.2","59.4","32.7","9.9","4.0","1.0","","9","69.2","12","57.1","23","52.3","30","11.8","24","207","11.7","8.63","6.90","25.9","80.0","2","18.2","1","4","0","116.9","14.6","16.1","128.7"
"50","Brian Robinson","SF","RB","17","2025","92","400","23.5","4.35","2","0","0","0","0","85.9","63.0","38.0","10.9","4.3","","","2","7.7","4","8.7","13","13.0","12","2.1","8","25","0.6","3.13","2.08","1.5","66.7","0","0.0","1","4","0","77.3","4.5","3.7","62.5"
"51","Samaje Perine","CIN","RB","15","2025","84","382","25.5","4.55","3","3","0","0","0","90.5","65.5","39.3","10.7","2.4","2.4","1.2","4","21.1","8","25.0","16","26.2","20","3.6","17","87","2.3","5.12","4.35","5.8","85.0","0","0.0","0","1","0","85.3","5.7","5.3","79.9"
"52","Tank Bigsby","PHI, JAX","RB","16","2025","63","356","22.3","5.65","2","0","0","0","0","87.3","68.3","44.4","20.6","7.9","3.2","","6","24.0","9","23.1","18","21.2","4","0.8","3","32","0.9","10.67","8.00","2.0","75.0","0","0.0","0","1","0","53.1","3.3","3.4","53.8"
"53","Keaton Mitchell","BLT","RB","13","2025","59","341","26.2","5.78","1","1","0","0","0","88.1","61.0","33.9","16.9","10.2","6.8","1.7","0","0.0","2","4.3","14","15.2","12","3.8","9","63","2.7","7.00","5.25","4.8","75.0","0","0.0","0","0","0","58.7","4.5","4.3","55.4"
"54","Michael Carter","ARZ","RB","13","2025","92","333","25.6","3.62","1","0","0","0","0","80.4","56.5","31.5","5.4","2.2","2.2","","3","25.0","4","17.4","8","24.2","43","8.1","33","267","7.5","8.09","6.21","20.5","76.7","0","0.0","2","6","0","120.5","9.3","7.6","99.0"
"55","Sean Tucker","TB","RB","17","2025","86","320","18.8","3.72","7","1","0","0","0","76.7","48.8","26.7","8.1","3.5","1.2","1.2","11","55.0","14","46.7","21","30.4","11","2.0","8","34","0.9","4.25","3.09","2.0","72.7","1","3.8","1","3","0","78.9","4.6","5.4","91.4"
"56","Emari Demercado","ARZ","RB","13","2025","44","312","24.0","7.09","0","1","0","0","0","86.4","52.3","40.9","20.5","11.4","4.5","4.5","0","0.0","4","13.3","5","11.4","19","4.0","13","101","3.2","7.77","5.32","7.8","68.4","1","4.5","3","4","0","57.2","4.4","4.6","59.3"
"57","Bhayshul Tuten","JAX","RB","15","2025","83","307","20.5","3.70","5","1","0","0","0","85.5","60.2","33.7","6.0","1.2","","","7","25.0","8","16.7","25","23.6","13","2.7","10","79","2.3","7.90","6.08","5.3","76.9","2","7.7","1","2","0","83.0","5.5","6.0","89.6"
"58","Jaylen Wright","MIA","RB","10","2025","70","288","28.8","4.11","2","2","0","0","0","82.9","62.9","40.0","8.6","2.9","1.4","1.4","4","33.3","6","26.1","12","24.0","9","3.6","5","44","2.4","8.80","4.89","4.4","55.6","0","0.0","0","0","0","57.9","5.8","4.9","49.2"
"59","Tyjae Spears","TEN","RB","13","2025","72","283","21.8","3.93","2","0","0","0","0","80.6","52.8","27.8","8.3","4.2","2.8","1.4","2","28.6","5","23.8","10","29.4","50","11.2","45","264","10.0","5.87","5.28","20.3","90.0","0","0.0","3","7","0","123.6","9.5","8.6","111.7"
"60","Ray Davis","BUF","RB","17","2025","58","275","16.2","4.74","0","0","0","0","0","82.8","65.5","36.2","15.5","5.2","1.7","","2","4.7","3","4.7","7","6.0","13","2.6","10","86","2.2","8.60","6.62","5.1","76.9","2","6.9","2","4","0","56.9","3.3","3.4","58.1"
"61","Bam Knight","ARZ","RB","12","2025","82","269","22.4","3.28","4","1","0","0","0","73.2","47.6","30.5","6.1","2.4","","","7","41.2","13","43.3","16","38.1","30","6.2","22","160","4.8","7.27","5.33","13.3","73.3","1","4.8","1","6","0","103.2","8.6","7.8","93.9"
"62","Malik Davis","DAL","RB","10","2025","52","250","25.0","4.81","2","0","0","0","0","94.2","53.8","32.7","7.7","7.7","5.8","1.9","2","9.5","4","12.9","8","14.0","5","1.4","2","16","0.5","8.00","3.20","1.6","40.0","0","0.0","0","0","0","39.8","4.0","4.1","40.6"
"63","Isaiah Davis","NYJ","RB","16","2025","43","236","14.8","5.49","1","0","0","0","0","88.4","58.1","39.5","14.0","9.3","4.7","2.3","0","0.0","1","4.2","9","15.8","27","5.7","21","186","6.8","8.86","6.89","11.6","77.8","0","0.0","0","1","0","69.6","4.3","4.5","71.2"
"64","Jeremy McNichols","WAS","RB","17","2025","44","221","13.0","5.02","1","1","0","0","0","84.1","59.1","34.1","11.4","6.8","2.3","2.3","1","2.9","3","5.7","5","5.5","31","6.6","25","196","5.9","7.84","6.32","11.5","80.6","0","0.0","0","2","0","73.4","4.3","4.3","73.7"
"65","Devin Neal","NO","RB","9","2025","57","206","22.9","3.61","2","0","0","0","0","84.2","61.4","24.6","5.3","3.5","1.8","","2","20.0","2","10.0","5","13.9","19","6.0","17","104","5.0","6.12","5.47","11.6","89.5","0","0.0","0","1","0","61.2","6.8","6.7","60.0"
"66","Ty Johnson","BUF","RB","17","2025","50","200","11.8","4.00","3","0","0","0","0","82.0","56.0","36.0","4.0","4.0","2.0","","6","14.0","11","17.2","19","16.2","31","6.3","24","263","6.6","10.96","8.48","15.5","77.4","2","6.9","1","4","1","90.0","5.3","5.9","100.3"
"67","Ollie Gordon","MIA","RB","17","2025","70","199","11.7","2.84","3","0","0","0","0","71.4","47.1","24.3","7.1","2.9","1.4","","6","37.5","12","37.5","19","27.1","9","1.9","7","32","1.0","4.57","3.56","1.9","77.8","1","4.3","0","2","0","65.6","3.9","3.2","54.1"
"68","Audric Estime","NO","RB","6","2025","46","198","33.0","4.30","1","0","0","0","0","84.8","58.7","34.8","4.3","2.2","2.2","2.2","3","33.3","5","29.4","6","21.4","13","6.7","12","103","6.3","8.58","7.92","17.2","92.3","0","0.0","0","0","0","46.9","7.8","8.0","48.1"
"69","Kendre Miller","NO","RB","7","2025","47","193","27.6","4.11","1","0","0","0","0","85.1","55.3","34.0","10.6","2.1","","","0","0.0","2","25.0","5","20.0","5","2.1","5","30","2.0","6.00","6.00","4.3","100.0","0","0.0","0","0","0","34.7","5.0","4.8","33.3"
"70","Jawhar Jordan","HST","RB","4","2025","43","193","48.3","4.49","0","0","0","0","0","76.7","48.8","30.2","16.3","2.3","2.3","2.3","1","16.7","2","25.0","5","27.8","7","5.6","7","34","3.8","4.86","4.86","8.5","100.0","0","0.0","0","0","0","35.7","8.9","7.4","29.7"
"71","Jaleel McLaughlin","DEN","RB","8","2025","37","187","23.4","5.05","1","0","0","0","0","89.2","73.0","43.2","13.5","5.4","","","1","11.1","2","10.5","5","12.5","5","1.7","4","27","1.4","6.75","5.40","3.4","80.0","0","0.0","0","0","0","29.8","3.7","3.9","31.4"
"72","Dylan Sampson","CLV","RB","15","2025","65","175","11.7","2.69","0","0","0","0","0","72.3","49.2","21.5","4.6","3.1","1.5","","0","0.0","1","3.4","7","13.7","38","7.7","33","271","9.6","8.21","7.13","18.1","86.8","2","13.3","1","5","1","98.2","6.5","5.9","88.6"
