"Player Details","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","Season Type","WEEK","Opponent","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"126","Tony Pollard","DAL","RB","1","2022","1","11","MIN","6","20.0","6","109","35.5","18.17","18.17","109.0","100.0","2","100.0","1","1","0","36.9","36.9","36.9","30.9"
"127","Travis Kelce","KC","TE","1","2022","1","6","BUF","9","22.5","8","108","32.0","13.50","12.00","108.0","88.9","0","0.0","0","1","0","19.2","19.2","19.2","11.2"
"128","D.J. Chark","DET","WR","1","2022","1","16","CAR","4","9.5","4","108","30.4","27.00","27.00","108.0","100.0","0","0.0","0","0","0","14.8","14.8","14.8","10.8"
"129","Rashod Bateman","BLT","WR","1","2022","1","2","MIA","7","24.1","4","108","34.0","27.00","15.43","108.0","57.1","1","33.3","0","0","0","20.8","20.8","20.8","16.8"
"130","Stefon Diggs","BUF","WR","1","2022","1","8","GB","8","32.0","6","108","49.5","18.00","13.50","108.0","75.0","1","50.0","1","1","1","22.8","22.8","22.8","16.8"
"131","Cooper Kupp","LA","WR","1","2022","1","2","ATL","14","38.9","11","108","39.7","9.82","7.71","108.0","78.6","2","66.7","3","4","1","32.8","32.8","32.8","21.8"
"132","Tyler Lockett","SEA","WR","1","2022","1","2","SF","11","35.5","9","107","54.3","11.89","9.73","107.0","81.8","0","0.0","0","0","0","19.7","19.7","19.7","10.7"
"133","Christian Watson","GB","WR","1","2022","1","10","DAL","8","40.0","4","107","47.8","26.75","13.38","107.0","50.0","3","100.0","1","1","0","32.7","32.7","32.7","28.7"
"134","Justin Jefferson","MIN","WR","1","2022","1","6","MIA","7","23.3","6","107","61.1","17.83","15.29","107.0","85.7","0","0.0","0","0","0","16.7","16.7","16.7","10.7"
"135","Brandin Cooks","HST","WR","1","2022","1","18","IND","6","15.0","5","106","34.1","21.20","17.67","106.0","83.3","1","33.3","0","1","0","21.6","21.6","21.6","16.6"
"136","Josh Palmer","LAC","WR","1","2022","1","9","ATL","10","23.3","8","106","43.3","13.25","10.60","106.0","80.0","0","0.0","0","0","0","18.6","18.6","18.6","10.6"
"137","Josh Palmer","LAC","WR","1","2022","1","11","KC","10","33.3","8","106","37.9","13.25","10.60","106.0","80.0","2","100.0","1","1","0","30.6","30.6","30.6","22.6"
"138","Mark Andrews","BLT","TE","1","2022","1","6","NYG","11","34.4","7","106","50.5","15.14","9.64","106.0","63.6","1","100.0","1","3","0","23.6","23.6","23.6","16.6"
"139","Jaylen Waddle","MIA","WR","1","2022","1","8","DET","9","25.0","8","106","27.7","13.25","11.78","106.0","88.9","2","66.7","2","2","0","30.6","30.6","30.6","22.6"
"140","Travis Kelce","KC","TE","1","2022","1","9","TEN","16","23.5","10","106","23.8","10.60","6.63","106.0","62.5","0","0.0","0","1","0","20.6","20.6","20.6","10.6"
"141","CeeDee Lamb","DAL","WR","1","2022","1","12","NYG","11","36.7","6","106","40.6","17.67","9.64","106.0","54.5","0","0.0","1","1","0","17.7","17.7","17.7","11.7"
"142","Chris Olave","NO","WR","1","2022","1","7","ARZ","11","22.4","7","106","25.9","15.14","9.64","106.0","63.6","0","0.0","0","0","0","17.6","17.6","17.6","10.6"
"143","Christian Kirk","JAX","WR","1","2022","1","10","KC","10","25.0","9","105","40.5","11.67","10.50","105.0","90.0","2","100.0","1","3","0","31.5","31.5","31.5","22.5"
"144","Tre'Quan Smith","NO","WR","1","2022","1","3","CAR","5","12.2","4","105","29.7","26.25","21.00","105.0","80.0","0","0.0","0","0","0","14.5","14.5","14.5","10.5"
"145","Isaiah Hodgins","NYG","WR","1","2022","2","1","MIN","9","25.7","8","105","34.9","13.13","11.67","105.0","88.9","1","50.0","1","3","0","24.5","24.5","24.5","16.5"
"146","Terry McLaurin","WAS","WR","1","2022","1","13","NYG","12","29.3","8","105","38.2","13.13","8.75","105.0","66.7","1","50.0","0","1","0","24.5","24.5","24.5","16.5"
"147","Jahan Dotson","WAS","WR","1","2022","1","15","NYG","5","17.2","4","105","42.2","26.25","21.00","105.0","80.0","1","100.0","1","2","0","20.5","20.5","20.5","16.5"
